PGRFAMCHA010501135808142218002410Busy World Of Richard Scarry; The                 Superstitious Bananas/Pepe The Goodstaire/Drive-Th            B24400 1125607ECC                              
PROFAMCHA010501142218142227000009CC Was Brought To You By - Ian (PRESCHOOL)                                                                              06  150                                
ID FAMCHA010501142227142237000010Generic ID - Pink inner tube                                                                                            06  150                                
PRCFAMCHA010501142237142245000008Franklin Bumper - Slide - Weekdays                                                                                     102  150                                
ID FAMCHA010501142245142300000015Afternoon block pinball open                                                                                            06  150                                
PGRFAMCHA010501142300144536002236Madeline                                          Madeline and the Talking Parrot                                      6028607E                                
ID FAMCHA010501144536144546000010Generic ID - Hula Hoop                                                                                                  06  150                                
PROFAMCHA010501144546144602000016ALF (Description) - Tonight @ 7:30pm                                                                                    06  150                                
PROFAMCHA010501144602144632000030New Adventures of WTP (MARCH2001) - Weekdays @ 7:3                                                                      06  150                                
PROFAMCHA010501144632144645000013Buzz Lightyear (DISNEY'S ONE TOO) - Today @ 5:30pm                                                                      06  150                                
ID FAMCHA010501144645144700000015Afternoon block pinball open                                                                                            06  150                                
PROFAMCHA010501144700144708000008CC Is Brought To You By - Lark (PRESCHOOL)                                                                              06  150                                
PGRFAMCHA010501144708151038002330Out Of The Box                                    Unicorn-U-Copia                                                      60286110CC                              
PROFAMCHA010501151038151046000008CC Was Brought To You By - Lark (PRESCHOOL)                                                                             06  150                                
ID FAMCHA010501151046151056000010Generic ID - Ring around the rosie                                                                                      06  150                                
PRCFAMCHA010501151056151132000036Goof Troop (MARCH2001) - Coming Up                                                                                      06  150                                
PRCFAMCHA010501151132151140000008Franklin Bumper - Slide - Weekdays                                                                                     106  150                                
PRCFAMCHA010501151140151150000010Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010501151150151200000010Magic of Disney - V2(sky) - TEEN FEMALE                                                                                 02  150                                
PROFAMCHA010501151200151208000008CC Is Brought To You By - Ian (PRESCHOOL)                                                                               06  150                                
PGRFAMCHA010501151208153454002246Goof Troop                                        Mrs. Spoonerville                                                   A6028607ECC                              
PROFAMCHA010501153454153502000008CC Was Brought To You By - Ian (PRESCHOOL)                                                                              06  150                                
ID FAMCHA010501153502153507000005Generic ID - Couch 1                                                                                                    06  150                                
PROFAMCHA010501153507153537000030Pepper Ann (MARCH2001) - Today @ 4:30pm                                                                                 06  150                                
PROFAMCHA010501153537153550000013Buzz Lightyear (DISNEY'S ONE TOO) - Today @ 5:30pm                                                                      06  150                                
ID FAMCHA010501153550153600000010Magic of Disney - V3(water) - TEEN MALE                                                                                 06  150                                
PROFAMCHA010501153600153608000008CC Is Brought To You By - Lark (PRESCHOOL)                                                                              06  150                                
PGRFAMCHA010501153608155845002237Disney's Aladdin                                  Stinker Belle                                                        6028607ECC                              
PROFAMCHA010501155845155853000008CC Was Brought To You By - Lark (PRESCHOOL)                                                                             06  150                                
ID FAMCHA010501155853155903000010Generic ID - Pink inner tube                                                                                            06  150                                
PROFAMCHA010501155903155918000015Doug (MARCH2001) - Coming Up                                                                                            02  150                                
PROFAMCHA010501155918155939000021Buzz Lightyear (DISNEY'S ONE TOO) - Today @ 5:30pm                                                                      06  150                                
PRCFAMCHA010501155939155950000011Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010501155950160000000010Magic of Disney - V2(sky) - TEEN FEMALE                                                                                 06  150                                
PROFAMCHA010501160000160030000030Disney's One Too - Opening                                                                                              02  150                                
PGRFAMCHA010501160030162255002225Disney's Doug                                     Doug's Dream House                                                   6028607E                                
ID FAMCHA010501162255162305000010Generic ID - Pink inner tube                                                                                            06  150                                
PROFAMCHA010501162305162338000033Recess (King Gus) - Today @ 5:00pm                                                                                      02  150                                
PROFAMCHA010501162338162408000030Pepper Ann (MARCH2001) - Coming Up                                                                                      02  150                                
PRCFAMCHA010501162408162448000040Famous Jett Jackson (MARCH2001) - Tonight @ 7pm                                                                        102  150                                
INTFAMCHA010501162448162552000104Jack and Marcel: Ep.004 "Banzai and Sushi"                                                                             40288120                                
INTFAMCHA010501162552162656000104Jack and Marcel: Ep.013 "Copyright"                                                                                   A40288120                                
PROFAMCHA010501162656162724000028Honey (MARCH2001) - Tonight @ 8pm                                                                                       02  150                                
INTFAMCHA010501162724162846000122Disney Dinner Time(02)- Bill Pickett (D12 only)                                                                        60286120                                
PROFAMCHA010501162846162907000021Buzz Lightyear (DISNEY'S ONE TOO) - Today @ 5:30pm                                                                      06  150                                
PRCFAMCHA010501162907162935000028Are You Afraid...Dark? (45MIN) - Tonight @ 8:45pm                                                                       02  150                                
PRCFAMCHA010501162935162945000010Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010501162945163000000015Afternoon block pinball open                                                                                            06  150                                
PROFAMCHA010501163000163030000030Disney's One Too - Opening                                                                                              06  150                                
PROFAMCHA010501163030163038000008CC Is Brought To You By - Ian (PRESCHOOL)                                                                               06  150                                
PGRFAMCHA010501163038165327002249Disney's Pepper Ann                               Sell-Out/Tell-Tale Fuzzy                                             6028607ECC                              
PROFAMCHA010501165327165336000009CC Was Brought To You By - Ian (PRESCHOOL)                                                                              06  150                                
ID FAMCHA010501165336165346000010Generic ID - soccer                                                                                                     06  150                                
PROFAMCHA010501165346165401000015ALF (Lucky) - Tonight @ 7:30pm                                                                                          02  150                                
PROFAMCHA010501165401165434000033Recess (King Gus) - Coming Up                                                                                           02  150                                
ID FAMCHA010501165434165444000010Silly Stories Teaser - Male                                                                                             02  150                                
INTFAMCHA010501165444165635000151Disney Magic Shop(04)- Magic Arrow (D12 only)                                                                          60286120                                
ID FAMCHA010501165635165704000029Silly Stories - COLD Story                                                                                              02  150                                
INTFAMCHA010501165704165725000021Recess Sketches - Gretchen's Inventions - Me Gus                                                                       60286120                                
INTFAMCHA010501165725165755000030Disney Magic Drawings(04)- Winnie the Pooh (D12 on                                                                     60286120                                
INTFAMCHA010501165755165816000021Recess Sketches - Telephone                                                                                            60286120                                
PRCFAMCHA010501165816165856000040Famous Jett Jackson (MARCH2001) - Tonight @ 7pm                                                                        106  150                                
INTFAMCHA010501165856165917000021Recess Sketches - The Big Kick - Stray                                                                                 60286120                                
PROFAMCHA010501165917165945000028Honey (MARCH2001) - Tonight @ 8pm                                                                                       06  150                                
ID FAMCHA010501165945170000000015Afternoon block pinball open                                                                                            06  150                                
PROFAMCHA010501170000170030000030Disney's One Too - Opening                                                                                              06  150                                
PGRFAMCHA010501170030172306002236Disney's Recess                                   Mikey's Pants/Here Comes Mr. Perfect                                A6028607E                                
ID FAMCHA010501172306172316000010Generic ID - Ring around the rosie                                                                                      06  150                                
PRCFAMCHA010501172316172356000040Famous Jett Jackson (MARCH2001) - Tonight @ 7pm                                                                        106  150                                
PROFAMCHA010501172356172417000021Buzz Lightyear (DISNEY'S ONE TOO) - Coming Up                                                                           02  150                                
PROFAMCHA010501172417172441000024ALF - Tonight @ 7:30pm                                                                                                  02  150                                
